_input,_num,_widgetName,_source,_resultNumber,_pageUrl,teams,score,odds,result,logo
,1,coversWithOT,coversWithOT,1,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883315.html,LAL; NO,80; 96,203; -7,Under: 176; Cover: +9,Under: 176; Cover: +9
,2,coversWithOT,coversWithOT,2,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883314.html,DAL; MIN,98; 75,-9.5; 214,Cover: +13.5; Under: 173,Cover: +13.5; Under: 173
,3,coversWithOT,coversWithOT,3,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883312.html,ORL; DET,118; 128,209; -8,Over: 246; Cover: +2,Over: 246; Cover: +2
,4,coversWithOT,coversWithOT,4,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883316.html,OKC; WAS,,105; 103,,1; 207.5
,5,coversWithOT,coversWithOT,5,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883308.html,MIA; CHAR,76; 78,6; 184,Cover: +4; Under: 154,Cover: +4; Under: 154
,6,coversWithOT,coversWithOT,6,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883309.html,UTA; CLE,92; 106,196.5; -9.5,Over: 198; Cover: +4.5,Over: 198; Cover: +4.5
,7,coversWithOT,coversWithOT,7,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883317.html,POR; PHO,113; 118,7.5; 211.5,Cover: +2.5; Over: 231,Cover: +2.5; Over: 231
,8,coversWithOT,coversWithOT,8,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883310.html,NY; PHI,98; 91,-3; 189.5,Cover: +4; Under: 189,Cover: +4; Under: 189
,9,coversWithOT,coversWithOT,9,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883311.html,IND; ATL,91; 110,192.5; -10.5,Over: 201; Cover: +8.5,Over: 201; Cover: +8.5
,10,coversWithOT,coversWithOT,10,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883319.html,HOU; GS,113; 126,219; -8,Over: 239; Cover: +5,Over: 239; Cover: +5
,11,coversWithOT,coversWithOT,11,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883313.html,TOR; MEM,86; 92,6; 202,Push; Under: 178,Push; Under: 178
,12,coversWithOT,coversWithOT,12,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883318.html,BK; SAC,103; 100,5.5; 197,Cover: +8.5; Over: 203,Cover: +8.5; Over: 203
,13,coversWithOT,coversWithOT,13,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883246.html,NO; BOS,100; 108,204; 5.5,Over: 208; Cover: +13.5,Over: 208; Cover: +13.5
,14,coversWithOT,coversWithOT,14,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883291.html,NO; TOR,95; 93,11; 205.5,Cover: +13; Under: 188,Cover: +13; Under: 188
,15,coversWithOT,coversWithOT,15,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883205.html,NO; CHAR,94; 98,191; 4.5,Over: 192; Cover: +8.5,Over: 192; Cover: +8.5
,16,coversWithOT,coversWithOT,16,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883224.html,MEM; NO,95; 106,198.5; -1,Over: 201; Cover: +10,Over: 201; Cover: +10
,17,coversWithOT,coversWithOT,17,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883301.html,NO; NY,92; 99,193.5; 7.5,Under: 191; Cover: +14.5,Under: 191; Cover: +14.5
,18,coversWithOT,coversWithOT,18,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883272.html,NO; PHI,81; 96,191; 6.5,Under: 177; Cover: +21.5,Under: 177; Cover: +21.5
,19,coversWithOT,coversWithOT,19,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883198.html,WAS; NO,92; 85,3; 200,Cover: +10; Under: 177,Cover: +10; Under: 177
,20,coversWithOT,coversWithOT,20,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883260.html,NO; DET,105; 94,3.5; 203.5,Cover: +14.5; Under: 199,Cover: +14.5; Under: 199
,21,coversWithOT,coversWithOT,21,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883171.html,HOU; NO,83; 111,204; 2,Under: 194; Cover: +30,Under: 194; Cover: +30
,22,coversWithOT,coversWithOT,22,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883200.html,LAL; POR,94; 98,12.5; 209,Cover: +8.5; Under: 192,Cover: +8.5; Under: 192
,23,coversWithOT,coversWithOT,23,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883305.html,LAL; PHO,100; 115,215; -10.5,Push; Cover: +4.5,Push; Cover: +4.5
,24,coversWithOT,coversWithOT,24,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883217.html,LAL; LAC,89; 114,214.5; -10.5,Under: 203; Cover: +14.5,Under: 203; Cover: +14.5
,25,coversWithOT,coversWithOT,25,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883256.html,MIA; LAL,78; 75,-2.5; 197.5,Cover: +0.5; Under: 153,Cover: +0.5; Under: 153
,26,coversWithOT,coversWithOT,26,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883269.html,CLE; LAL,109; 102,-6; 207,Cover: +1; Over: 211,Cover: +1; Over: 211
,27,coversWithOT,coversWithOT,27,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883245.html,POR; LAL,106; 94,-5.5; 205,Cover: +6.5; Under: 200,Cover: +6.5; Under: 200
,28,coversWithOT,coversWithOT,28,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883231.html,ORL; LAL,84; 101,198.5; -1.5,Under: 185; Cover: +15.5,Under: 185; Cover: +15.5
,29,coversWithOT,coversWithOT,29,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883191.html,IND; LAL,87; 88,1; 202.5,Push; Under: 175,Push; Under: 175
,30,coversWithOT,coversWithOT,30,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883280.html,LAL; UTA,85; 94,196; -8,Under: 179; Cover: +1,Under: 179; Cover: +1
,31,coversWithOT,coversWithOT,31,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883247.html,HOU; BK,113; 99,-7; 193.5,Cover: +7; Over: 212,Cover: +7; Over: 212
,32,coversWithOT,coversWithOT,32,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883249.html,ORL; CHI,121; 114,11.5; 190.5,Cover: +18.5; Over: 235,Cover: +18.5; Over: 235
,33,coversWithOT,coversWithOT,33,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883292.html,OKC; ORL,127; 99,-9; 213.5,Cover: +19; Over: 226,Cover: +19; Over: 226
,34,coversWithOT,coversWithOT,34,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883248.html,DET; TOR,114; 111,6; 208.5,Cover: +9; Over: 225,Cover: +9; Over: 225
,35,coversWithOT,coversWithOT,35,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883293.html,UTA; SA,69; 89,195.5; -12,Under: 158; Cover: +8,Under: 158; Cover: +8
,36,coversWithOT,coversWithOT,36,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883211.html,UTA; CHI,97; 77,11; 192.5,Cover: +31; Under: 174,Cover: +31; Under: 174
,37,coversWithOT,coversWithOT,37,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883215.html,OKC; SAC,83; 104,212.5; 7.5,Under: 187; Cover: +28.5,Under: 187; Cover: +28.5
,38,coversWithOT,coversWithOT,38,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883213.html,ORL; DEN,90; 93,7; 201,Cover: +4; Under: 183,Cover: +4; Under: 183
,39,coversWithOT,coversWithOT,39,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883207.html,MIL; PHI,97; 77,-7; 195.5,Cover: +13; Under: 174,Cover: +13; Under: 174
,40,coversWithOT,coversWithOT,40,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883216.html,IND; GS,102; 117,202; -11.5,Over: 219; Cover: +3.5,Over: 219; Cover: +3.5
,41,coversWithOT,coversWithOT,41,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883208.html,NY; WAS,91; 101,14.5; 187.5,Cover: +4.5; Over: 192,Cover: +4.5; Over: 192
,42,coversWithOT,coversWithOT,42,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883209.html,MEM; ATL,86; 96,197; -4.5,Under: 182; Cover: +5.5,Under: 182; Cover: +5.5
,43,coversWithOT,coversWithOT,43,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883210.html,BOS; BK,89; 81,5; 199,Cover: +13; Under: 170,Cover: +13; Under: 170
,44,coversWithOT,coversWithOT,44,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883212.html,DET; DAL,108; 95,9; 211,Cover: +22; Under: 203,Cover: +22; Under: 203
,45,coversWithOT,coversWithOT,45,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883206.html,HOU; CLE,105; 93,-6; 198.5,Cover: +6; Under: 198,Cover: +6; Under: 198
,46,coversWithOT,coversWithOT,46,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883214.html,PHO; MIN,113; 111,216; 8,Over: 224; Cover: +6,Over: 224; Cover: +6
,47,coversWithOT,coversWithOT,47,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883226.html,CHI; WAS,86; 102,195.5; -1,Under: 188; Cover: +15,Under: 188; Cover: +15
,48,coversWithOT,coversWithOT,48,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883227.html,MIN; MIL,84; 98,203; -9.5,Under: 182; Cover: +4.5,Under: 182; Cover: +4.5
,49,coversWithOT,coversWithOT,49,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883230.html,CLE; GS,94; 112,210.5; -13,Under: 206; Cover: +5,Under: 206; Cover: +5
,50,coversWithOT,coversWithOT,50,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883223.html,ATL; DET,106; 103,-2.5; 206,Cover: +0.5; Over: 209,Cover: +0.5; Over: 209
,51,coversWithOT,coversWithOT,51,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883221.html,BOS; IND,,103; 107,,6; 197
,52,coversWithOT,coversWithOT,52,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883222.html,PHI; BK,90; 88,10.5; 190.5,Cover: +12.5; Under: 178,Cover: +12.5; Under: 178
,53,coversWithOT,coversWithOT,53,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883228.html,PHO; SA,95; 100,5; 212,Push; Under: 195,Push; Under: 195
,54,coversWithOT,coversWithOT,54,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883229.html,DEN; SAC,118; 108,5; 213,Cover: +15; Over: 226,Cover: +15; Over: 226
,55,coversWithOT,coversWithOT,55,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883225.html,UTA; OKC,94; 99,11.5; 197.5,Cover: +6.5; Under: 193,Cover: +6.5; Under: 193
,56,coversWithOT,coversWithOT,56,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883298.html,DEN; GS,79; 122,218; -13.5,Under: 201; Cover: +29.5,Under: 201; Cover: +29.5
,57,coversWithOT,coversWithOT,57,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883296.html,DET; ATL,82; 93,203.5; -7.5,Under: 175; Cover: +3.5,Under: 175; Cover: +3.5
,58,coversWithOT,coversWithOT,58,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883299.html,DAL; MEM,103; 95,3.5; 202,Cover: +11.5; Under: 198,Cover: +11.5; Under: 198
,59,coversWithOT,coversWithOT,59,http://www.covers.com/pageLoader/pageLoader.aspx?page=/data/nba/results/2014-2015/boxscore883302.html,TOR; MIL,92; 89,1.5; 197,Cover: +4.5; Under: 181,Cover: +4.5; Under: 181
